,Investigator,Number of Studies,Top Condition,Top Condition Count
21349,bruno ranchin,1,healthy,1.0
21350,kim vettenranta,1,acute lymphoblastic leukaemia,1.0
21351,andrea ciarlo,1,locally advanced unresectable gastric cancer,1.0
21352,valeria carinci,1,device replacement,1.0
21353,guido scalia,1,depression,1.0
21354,andrea erriquez,1,acute coronary syndromes,1.0
21355,vandana sharma,1,hemophilia a,1.0
21356,patrizia pepe,1,allergic rhinitis,1.0
21357,christopher goetz,1,parkinson's disease,1.0
21358,roberta sarmiento,1,healthy blood donors,1.0
21359,mark bilsky,1,spinal column tumor,1.0
21360,javier de miguel,1,venous thromboembolism,1.0
21361,radka ivanova georgieva,1,venous thromboembolism,1.0
21362,alexander röth,1,mantle cell lymphoma,1.0
21363,michael uppenkamp,1,mantle cell lymphoma,1.0
21364,cindy neuzillet,1,nsclc harboring nrg1 fusion,1.0
21365,filomena faria,1,antifungal agents,1.0
21366,marietta franco,1,lung cancer,1.0
21367,giovanna rege cambrin,1,acute lymphoblastic leukemia,1.0
21368,clemens sc,1,skin wound,1.0
21369,nimer assy,1,ulcerative colitis,1.0
21370,nuno rama,1,colorectal cancer,1.0
21371,daniela poli,1,venous thromboembolism,1.0
21372,angiolina roccino,1,acute myeloid leukemia,1.0
21373,laura murillo,1,metastatic breast cancer,1.0
21374,danièle frisone,1,metastatic breast cancer,1.0
21375,richard schlenk,1,advanced solid tumor,1.0
21376,krishna rao,1,"cutaneous melanoma, stage ii",1.0
21377,simone mocellin,1,"cutaneous melanoma, stage ii",1.0
21378,nicolas rojas,1,"cutaneous melanoma, stage ii",1.0
21379,muhammad tariq farman,1,stroke,1.0
21380,nagasaka,1,non-small cell lung cancer,1.0
21381,di noia,1,non-small cell lung cancer,1.0
21382,alessandro capitanini,1,acute kidney injury,1.0
21383,laura rasero,1,hospitalization,1.0
21384,per-ola andersson,1,dlbcl,1.0
21385,emilia florea,1,covid,1.0
21386,christine terraciano,1,relapsed/refractory large b cell lymphoma,1.0
21387,silvia zanon,1,pancreatic ductal adenocarcinoma,1.0
21388,amal assa'ad,1,cow's milk allergy,1.0
21389,joseph maakaron,1,stem cell transplant complications,1.0
21390,frederik nevens,1,liver diseases,1.0
21391,davide melandri,1,hypertrophic scar,1.0
21392,christophe cassinotto,1,advanced chronic liver disease,1.0
21393,jennifer turnbull,1,rhabdomyosarcoma,1.0
21394,federico vozzi,1,brugada syndrome 1,1.0
21395,witold libionka,1,parkinson disease,1.0
21396,christina möller-titel,1,sickle cell disease,1.0
21397,katharina blümlein,1,"sclerosis, systemic",1.0
21398,na eun ku,1,diffuse cutaneous systemic sclerosis,1.0
21399,delphine antoni,1,extensive-stage small-cell lung cancer,1.0
21400,gertjan kasper,1,acute promyelocytic leukemia,1.0
21401,sophie park,1,myelodysplastic syndromes,1.0
21402,andres duarte-rojo,1,hepatic encephalopathy,1.0
21403,fabio ghezzi,1,"placenta, hemorrhage, complicating delivery",1.0
21404,omer khalid,1,nash - nonalcoholic steatohepatitis,1.0
21405,christophe van steenkiste,1,nash - nonalcoholic steatohepatitis,1.0
21406,joana magalhães,1,nash - nonalcoholic steatohepatitis,1.0
21407,kambiz taghizadeh,1,gastro-oesophageal cancer,1.0
21408,cristiano scarselli,1,"brain injuries, acute",1.0
21409,olivier traxer,1,bladder carcinoma in situ (cis),1.0
21410,elena cortes vicente,1,generalized myasthenia gravis,1.0
21411,marco palla,1,skin toxicity,1.0
21412,hu xichun,1,her2 positive breast cancer,1.0
21413,maria g crespo-leiro,1,myocarditis acute,1.0
21414,jose manuel garcia-pinilla,1,myocarditis acute,1.0
21415,anrried escalante,1,gastroesophageal adenocarcinoma,1.0
21416,simon pernot,1,gastric neoplasms,1.0
21417,anna paola pata,1,schnitzler syndrome,1.0
21418,marcello govoni,1,vexas syndrome,1.0
21419,joanna makowska,1,behcet syndrome,1.0
21420,thomsen,1,atherosclerotic cardiovascular disease,1.0
21421,majercak,1,atherosclerotic cardiovascular disease,1.0
21422,raffaele zinno,1,"loosening, prosthesis",1.0
21423,nancy leslie,1,mucopolysaccharidosis ii,1.0
21424,barbro k linderholm,1,oligometastatic disease,1.0
21425,chaosu hu,1,head and neck cancer,1.0
21426,christian m lange,1,hepatorenal syndrome,1.0
21427,vibha thomas,1,breast neoplasms,1.0
21428,guido luis garozzo,1,breast neoplasms,1.0
21429,richard ferkl,1,obesity,1.0
21430,sebastian majewski,1,fibrosis,1.0
21431,• nicolo piazza,1,structural valve degeneration,1.0
21432,juan francisco rodriguez moreno,1,melanoma,1.0
21433,milena mamos,1,eosinophilic esophagitis,1.0
21434,felice ghilardi,1,parkinson disease,1.0
21435,michala pelikanova,1,cardiovascular diseases,1.0
21436,heike schlichthaar,1,cardiovascular diseases,1.0
21437,martina zanchetta,1,head and neck cancer,1.0
21438,tsao-wei liang,1,parkinson's disease,1.0
21439,santoro armando,1,primary mediastinal large b-cell lymphoma (pmbcl),1.0
21440,davide nicolotti,1,intensive care unit delirium,1.0
21441,ana caroline zimer gelatti,1,neoplasm metastasis,1.0
21442,caterina aurilio,1,postoperative respiratory complication,1.0
21443,antonio acquaviva,1,neuroblastoma,1.0
21444,ingebjorg storm-mathisen,1,neuroblastoma,1.0
21445,steven porter,1,pulmonary fibrosis,1.0
21446,jantien wanders,1,metastatic breast cancer,1.0
21447,pier paolo piccaluga,1,chronic eosinophilic leukemia (cel),1.0
21448,eric pujade-lauraine,1,ovarian cancer,1.0
21449,sy-shi wang,1,"neoplasm recurrence, local",1.0
21450,thomas krieg,1,skin fibrosis,1.0
21451,g. sissolak,1,peripheral t-cell lymphoma,1.0
21452,h wandt,1,myelodysplastic syndrome,1.0
21453,buyse gunnar,1,ambulatory care,1.0
21454,leonor correia guedes,1,huntington's disease,1.0
21455,alessandro maggi,1,chronic myeloid leukemia,1.0
21456,maria grazia zenti,1,obesity,1.0
21457,jacques genest,1,homozygous familial hypercholesterolemia,1.0
21458,christopher e. haberman,1,estrogen receptor negative,1.0
21459,marcello deraco,1,metastasis,1.0
21460,ido weinberg,1,venous thromboembolism,1.0
21461,denesh chitkara,1,crohn disease,1.0
21462,lindsay poehlmann,1,hsv infection,1.0
21463,jaimie kimberly figueroa,1,hsv infection,1.0
21464,maryam olesen,1,cow's milk protein allergy,1.0
21465,cinderella noel,1,antifungal agents,1.0
21466,joerg seeburger,1,heart valve disease,1.0
21467,benjamin weixler,1,crohn's disease,1.0
21468,alessandro gamboni,1,thoracic neoplasms,1.0
21469,alessandra gambineri,1,lipodystrophy acquired,1.0
21470,colton carter,1,lung diseases,1.0
21471,maria pietsch miller,1,pulmonary arterial hypertension,1.0
21472,stephanie davey,1,"hypertension, pulmonary",1.0
21473,ram subramanian,1,acute-on-chronic liver failure,1.0
21474,séverine vermeire,1,ulcerative colitis,1.0
21475,mireia margeli vila,1,metastatic breast cancer,1.0
21476,wei-wu chen,1,metastatic breast cancer,1.0
21477,andrew g. robinson,1,stage iiib lung cancer ajcc v8,1.0
21478,natasha m. tiffany,1,previously treated non-small cell lung cancer,1.0
21479,mariam zhvania,1,endometrial carcinoma,1.0
21480,miriam fink,1,thymoma,1.0
21481,nicolas terzi,1,ards,1.0
21482,pasi antero janne,1,non-small cell lung cancer,1.0
21483,james milner,1,soft tissue sarcoma,1.0
21484,juan carden,1,soft tissue sarcoma,1.0
21485,david portnoy,1,soft tissue sarcoma,1.0
21486,jim zhong,1,ntrk family gene mutation,1.0
21487,kerry goodsell,1,atrial fibrillation,1.0
21488,laia gispert,1,"mesothelioma, malignant",1.0
21489,manuela guerci,1,out-of-hospital cardiac arrest,1.0
21490,helena a yu,1,stage iiib lung cancer ajcc v8,1.0
21491,safiato diallo,1,high-risk neuroblastoma,1.0
21492,michael charles,1,urgent surgery,1.0
21493,shaoping nie,1,urgent surgery,1.0
21494,angela toss,1,metastatic breast cancer,1.0
21495,missy straver,1,refractory diffuse large b-cell lymphoma,1.0
21496,marco grosso,1,radiology,1.0
21497,pietro fransvea,1,emergencies,1.0
21498,srinivasa iskapalli,1,diabetic kidney disease,1.0
21499,veronika ballova,1,diffuse large b-cell lymphoma,1.0
21500,shiran shetty,1,liver cirrhosis,1.0
21501,margaret meyers,1,sickle cell disease,1.0
21502,lynne knowles,1,low grade ovarian serous adenocarcinoma,1.0
21503,francesco selvaggi,1,pregnancy complications,1.0
21504,hong shue,1,unresectable or metastatic melanoma,1.0
21505,juan rizo rodríguez,1,"sclerosis, systemic",1.0
21506,cristina preda,1,growth hormone deficiency,1.0
21507,zheng zhou,1,myelofibrosis,1.0
21508,gabriela hobbs,1,myelofibrosis,1.0
21509,mohammed alreshidan,1,mitral valve regurgitation,1.0
21510,ricardo ulises macias rodriquez,1,nash - nonalcoholic steatohepatitis,1.0
21511,joost drenth,1,nash - nonalcoholic steatohepatitis,1.0
21512,john b. moore,1,stage i breast cancer,1.0
21513,maria abbondenza pantaleo,1,fgfr2 gene translocation,1.0
21514,ana sebio garcia,1,conventional chondrosarcoma,1.0
21515,monica crespo-bosque,1,"lupus erythematosus, systemic",1.0
21516,horne,1,sjia,1.0
21517,vincenzo argano,1,cardiac valve disease,1.0
21518,francesco chessa,1,bladder carcinoma in situ (cis),1.0
21519,garth a. green,1,prostate adenocarcinoma,1.0
21520,xinglei shen,1,prostate adenocarcinoma,1.0
21521,christien kluwe,1,prostate adenocarcinoma,1.0
21522,julia surow,1,primary biliary cholangitis,1.0
21523,santiago escriva de romani munoz,1,her2 positive breast cancer,1.0
21524,lieven pouillon,1,crohn disease,1.0
21525,sandeep h. mashru,1,stage iii colon cancer,1.0
21526,miekus,1,atherosclerotic cardiovascular disease,1.0
21527,jose ferreira,1,seizures,1.0
21528,spicka,1,multiple myeloma,1.0
21529,daniel cubero,1,colorectal neoplasms,1.0
21530,doreen iwens,1,pancreatic cancer stage iv,1.0
21531,nelson siqueira de castro,1,"leukemia, lymphocytic",1.0
21532,abro,1,multiple myeloma,1.0
21533,ross mangum,1,neurofibromatosis type 1,1.0
21534,joseph murray,1,celiac disease,1.0
21535,francisco hidelbrando a mota filho,1,kidney cancer,1.0
21536,angela martinez,1,cyclin-dependent kinase-like 5 deficiency disorder,1.0
21537,lea seeber,1,cyclin-dependent kinase-like 5 deficiency disorder,1.0
21538,sayed hashemi,1,cancer,1.0
21539,yan sun,1,head and neck cancer,1.0
21540,federica naldi,1,ischemic stroke,1.0
21541,wenbin zhou,1,breast neoplasms,1.0
21542,maccon keane,1,breast neoplasms,1.0
21543,laia boronat ruiz,1,breast neoplasms,1.0
21544,edward huynh,1,relapsed or refractory multiple myeloma,1.0
21545,christopher vaughn,1,relapsed or refractory multiple myeloma,1.0
21546,ward j paine,1,overweight,1.0
21547,oscar gomez vilamajo,1,obesity,1.0
21548,claudia de brito,1,obesity,1.0
21549,francisco jose tinahones madueno,1,obesity,1.0
21550,david fermin,1,"cardiomyopathy, hypertrophic",1.0
21551,ana lleo de nalda,1,primary sclerosing cholangitis,1.0
21552,xinmin yu,1,non small cell lung cancer,1.0
21553,belinda kiely,1,metastatic breast cancer,1.0
21554,ming-feng hou,1,metastatic breast cancer,1.0
21555,grazia anna niro,1,chronic hepatitis d,1.0
21556,giada carolo,1,chronic hepatitis d,1.0
21557,pedro alberto garcia,1,obesity,1.0
21558,sheng-hao lin,1,neoplasm metastasis,1.0
21559,ilaria immacolata matichecchia,1,"diabetes mellitus, type 2",1.0
21560,simona sannicolò,1,polycythemia vera,1.0
21561,cristiana marques,1,breast neoplasms,1.0
21562,bernd becker,1,obesity,1.0
21563,j.p. vannier,1,neuroblastoma,1.0
21564,carlo serrati,1,stroke,1.0
21565,guy meyer,1,pulmonary embolism,1.0
21566,elena sishkova,1,ulcerative colitis,1.0
21567,mieczyslaw litwin,1,chronic kidney disease,1.0
21568,cesare hassan,1,colonoscopy,1.0
21569,machteld hillen,1,huntington's disease,1.0
21570,karel vondrak,1,healthy,1.0
21571,luca baldini,1,indolent non-follicular,1.0
21572,guiseppe mancia,1,renal artery ablation,1.0
21573,dharmesh patel,1,homozygous familial hypercholesterolemia,1.0
21574,dino barbi,1,bronchiolitis,1.0
21575,jefferson m. prichard,1,stage iia non-small cell lung carcinoma ajcc v7,1.0
21576,eric wachter,1,cutaneous melanoma,1.0
21577,manuel algara lópez,1,breast cancer,1.0
21578,sara b. giordano,1,her2/neu negative,1.0
21579,andrea casadei-gardini,1,hepatocellular carcinoma,1.0
21580,edelmira martí sáez,1,venous thromboembolism,1.0
21581,mert sentürk,1,one-lung ventilation,1.0
21582,michele maglione,1,anticoagulant-induced bleeding,1.0
21583,joão m ribeiro,1,antifungal agents,1.0
21584,riccardo valdagni,1,head and neck cancer,1.0
21585,alberto cremonesi,1,age problem,1.0
21586,fabrizio u pane,1,idiopathic thrombocytopenic purpura,1.0
21587,matthew m. poppe,1,breast cancer,1.0
21588,maria goldaniga,1,septic shock,1.0
21589,margherita lambertini,1,colorectal surgery,1.0
21590,hsao-hsun hsu,1,pulmonary arterial hypertension,1.0
21591,marzilli antonietta,1,hospitalization,1.0
21592,tenconi gianluca,1,hospitalization,1.0
21593,la regina micaela,1,hospitalization,1.0
21594,diana m. escolar,1,cutaneous t-cell lymphoma/mycosis fungoides,1.0
21595,matthew gronski,1,vulvovaginal atrophy,1.0
21596,dina visca,1,lung tb,1.0
21597,sarah w. gordon,1,previously treated non-small cell lung cancer,1.0
21598,annemieke boom,1,postoperative respiratory complication,1.0
21599,hendrik helmerhorst,1,postoperative respiratory complication,1.0
21600,jagdish hiremath,1,stroke,1.0
21601,sebastiano filetti,1,thyroid neoplasms,1.0
21602,giuseppe de vincentis,1,prostate cancer,1.0
21603,alexander y. sun,1,extensive stage lung small cell carcinoma,1.0
21604,shinichi fukuhara,1,surgery,1.0
21605,dario candura,1,"ards, human",1.0
21606,chiara cassani,1,ovarian cancer,1.0
21607,delphine garbay,1,her2-negative breast cancer,1.0
21608,gabriele feisel-schwickardi,1,her2-negative breast cancer,1.0
21609,wim laleman,1,acute-on-chronic liver failure,1.0
21610,carlota aguilera,1,sickle cell disease,1.0
21611,nicole de graauw,1,"lymphoma, mantle-cell",1.0
21612,paolo pinna parpaglia,1,evaluation,1.0
21613,mike thomson,1,gastrostomy,1.0
21614,s somi,1,"myocardial infarction, acute",1.0
21615,daniela beatriz pat cruz,1,"sclerosis, systemic",1.0
21616,elodie villar,1,metastatic breast cancer,1.0
21617,didier philippe blaise,1,diffuse large b-cell lymphoma,1.0
21618,enrica tomassini,1,car-t therapy complications,1.0
21619,daniel roth,1,chronic lymphocytic leukemia,1.0
21620,claudia suardi,1,hiv-1-infection,1.0
21621,adam p. siegel,1,stage ivb prostate cancer ajcc v8,1.0
21622,kapril arya,1,spinal muscular atrophy,1.0
21623,florian then berg,1,generalized myasthenia gravis,1.0
21624,hou ming-feng,1,her2 positive breast cancer,1.0
21625,arjan hoksbergen,1,thoracic aortic aneurysm,1.0
21626,luid miguel salmerón,1,abdominal aortic aneurysm,1.0
21627,raquel guardeño,1,gastroesophageal adenocarcinoma,1.0
21628,carolina soto chervin,1,stage iii colon cancer,1.0
21629,adam rojan,1,stage iii colon cancer,1.0
21630,rita consolini,1,hereditary autoinflammatory diseases,1.0
21631,ferlini,1,atherosclerotic cardiovascular disease,1.0
21632,christophe le tourneau,1,triple negative breast neoplasms,1.0
21633,georg schreil,1,pancreatic cancer stage iv,1.0
21634,rosario carrillo,1,pancreatic cancer metastatic,1.0
21635,stefan wirths,1,"leukemia, b-cell",1.0
21636,esteban nannini,1,infectious pneumonia,1.0
21637,visram,1,multiple myeloma,1.0
21638,elly r. lee,1,alzheimer's disease,1.0
21639,francesca melosi,1,intracranial hypertension,1.0
21640,christine gannon,1,mucopolysaccharidosis ii,1.0
21641,petra belohlavkova,1,myelodysplastic syndromes,1.0
21642,stephanie graff,1,breast neoplasms,1.0
21643,shruti tiwari,1,breast neoplasms,1.0
21644,maria fernandez abad,1,breast neoplasms,1.0
21645,audrik perez rodriguez,1,relapsed or refractory multiple myeloma,1.0
21646,abhishek kansara,1,overweight,1.0
21647,richard jackson,1,overweight,1.0
21648,aijie hou,1,obesity,1.0
21649,laura ridolfi,1,melanoma (skin),1.0
21650,megha patel-banker,1,systemic lupus erythematosus,1.0
21651,pietro candoli,1,hemoptysis,1.0
21652,marketa palacova,1,metastatic breast cancer,1.0
21653,sarah khan,1,metastatic breast cancer,1.0
21654,robert lockwood,1,overweight,1.0
21655,cheol-young park,1,obesity,1.0
21656,roberto tozzi,1,ovarian cancer,1.0
21657,irena aldhoon hainerova,1,overweight,1.0
21658,bernard witzenbichler,1,infectious pneumonia,1.0
21659,majdi halabi,1,"cardiomyopathy, hypertrophic",1.0
21660,marc andre,1,lymphoma,1.0
21661,payam dehghani,1,myocardial infarction,1.0
21662,marco berti,1,anesthesia recovery period,1.0
21663,william abraham,1,heart failure,1.0
21664,martin fassnacht,1,adrenocortical carcinoma,1.0
21665,gabriele crimi,1,myocardial reperfusion injury,1.0
21666,anette melk,1,pediatric,1.0
21667,omer abdul hamid,1,charcot marie tooth disease,1.0
21668,kevin m kalinsky,1,invasive breast carcinoma,1.0
21669,angus dalgleish,1,advanced pancreatic cancer,1.0
21670,liliana pozzati,1,helicobacter pylori infection,1.0
21671,cesa scaglione,1,huntington's disease,1.0
21672,anna rita scortechini,1,pregnancy,1.0
21673,jacqueline c rodriguez amado,1,prostate cancer,1.0
21674,quintino parisi,1,device replacement,1.0
21675,nicola petrosillo,1,urinary tract infections,1.0
21676,manuel lópez meseguer,1,venous thromboembolism,1.0
21677,anu planken,1,all tumor types,1.0
21678,charles naltet,1,all tumor types,1.0
21679,keisuke kuida,1,myelodysplastic syndromes,1.0
21680,judith dierlamm,1,mantle cell lymphoma,1.0
21681,stefanie kreutmair,1,mantle cell lymphoma,1.0
21682,carmen silvana araujo de oliveira,1,pulmonary arterial hypertension,1.0
21683,stefan weis,1,"acute lymphoblastic leukemia, pediatric",1.0
21684,brendan mcguire,1,acute-on-chronic liver failure,1.0
21685,marco clementi,1,anastomotic leak,1.0
21686,jacopo adreucetti,1,surgery--complications,1.0
21687,chia-ching  wang,1,stage iiic lung cancer ajcc v8,1.0
21688,barbara antonelli,1,neoplasms,1.0
21689,david mcallister,1,st elevation (stemi) myocardial infarction of anterior wall,1.0
21690,ribichini flavio,1,st elevation (stemi) myocardial infarction of anterior wall,1.0
21691,felipe damiani,1,ards,1.0
21692,irene carrasco garcia,1,soft tissue sarcoma,1.0
21693,anasthasia gama,1,acute myeloid leukemia,1.0
21694,anne ryan,1,high-risk neuroblastoma,1.0
21695,wouter van den eynde,1,abdominal aortic aneurysm,1.0
21696,massimiliano lanzafame,1,hiv-1-infection,1.0
21697,mariana villegas scivetti,1,dlbcl,1.0
21698,john chapman,1,migraine,1.0
21699,luis ortega-paz,1,st elevation myocardial infarction,1.0
21700,roberto berni canani,1,cow's milk allergy,1.0
21701,víctor sanfins,1,ventricular tachycardia,1.0
21702,runming jin,1,philadelphia chromosome-like all (ph-like all),1.0
21703,inge van der sluis,1,philadelphia chromosome-like all (ph-like all),1.0
21704,carmine s salleri,1,acute myeloid leukemia,1.0
21705,sonja heibl,1,her2-negative breast cancer,1.0
21706,walther kuhn,1,her2-negative breast cancer,1.0
21707,meher swathi devarao,1,sickle cell disease,1.0
